Sno.,Acronym,Name,Current Price,Price Change Per Day,Price Change Per Week,Percentage Change Per Day,Percentage Change Per Week
6842,TT15,Trident Texofab,29.00,0.0000,1,0.0000,3.57
6843,TTE,Inertia Steel,0.00,0.0000,Nan,Nan,Nan
6844,TS12,Tecpro Systems,4.53,0.0000,0,0.0000,0
6845,TW04,Titagarh Wagons,45.75,-1.6500,6.30,-3.4810,15.9700
6846,TA,Titan Alloys,1.00,0.0000,Nan,0.0000,Nan
6847,TBT,Titan Biotech,149.00,0.5500,5.95,0.3705,4.1600
6848,TI01,Titan Company,1197.35,-3.1500,88.20,-0.2624,7.9500
6849,TFF,Titan Foods,1.00,0.0000,Nan,0.0000,Nan
6850,TS07,Titan Secu,7.31,0.1400,-0.10,1.9526,-1.3500
6851,TTA,Titan Trading,11.55,11.5500,Nan,Nan,Nan
6852,TC13,Tivoli Const,12.00,0.0000,Nan,0.0000,Nan
6853,TATAM57000,TML-D,98.05,1.1000,Nan,1.1346,Nan
6854,TMT,TMT India,10.00,0.0000,0,0.0000,0
6855,TW02,Todays Writing,1.65,0.0000,0,0.0000,0
6856,TP09,Toheal Pharm,2.15,0.0000,0,0.0000,0
6857,TF05,Tokyo Finance,10.05,0.0000,-0.25,0.0000,-2.43
6858,TPI01,Tokyo Plast,59.55,-1.7000,-0.45,-2.7755,-0.7500
6859,TBC,Tolani Bulk,8.80,-0.4000,Nan,-4.3478,Nan
6860,TP05,Tonira Pharma,19.75,0.4000,Nan,2.0672,Nan
6861,TS02,Toor Spinners,0.60,0.0000,Nan,0.0000,Nan
6862,TLS,Top Line Shoes ,0.00,0.0000,Nan,Nan,Nan
6863,TT10,Tezpore Tea,50.35,-2.6000,Nan,-4.9103,Nan
6864,TP06,Torrent Pharma,2817.10,16.9000,98.10,0.6035,3.6100
6865,TP14,Thirani Project,0.81,0.0000,0,0.0000,0
6866,TPS,TD Power System,112.50,-0.5000,0.15,-0.4425,0.1300
6867,TI11,Tosha Inter,1.00,0.0000,Nan,0.0000,Nan
6868,TEL02,Total Exports,1.42,0.0000,0,0.0000,0
6869,TEL,Tata Motors,133.50,0.2000,6.15,0.1500,4.8300
6870,TFC,Tourism Finance,36.70,0.6000,1.10,1.6620,3.0900
6871,TS08,Towa Sokki,4.72,0.0000,-0.23,0.0000,-4.65
6872,TIE01,Towels India,6.54,1.0900,Nan,20.0000,Nan
6873,OAR,Toyam Ind,3.50,0.1200,-0.36,3.5503,-9.3300
6874,TE04,Toyama Electric,11.24,0.0000,Nan,0.0000,Nan
6875,PHOSP54212,TPCL,48.45,2.3000,-2.65,4.9837,-5.1900
6876,TPI,TPI India,3.04,0.0000,Nan,0.0000,Nan
6877,TI13,Trackparts,17.00,0.0000,Nan,0.0000,Nan
